timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1752172197046,78,HTTP Request,200,,Thread Group 1-14,text,true,,351,638,47,47,http://localhost:8081/transactions,78,0,0
1752172197069,56,HTTP Request,200,,Thread Group 1-10,text,true,,351,638,47,47,http://localhost:8081/transactions,56,0,0
1752172197068,57,HTTP Request,200,,Thread Group 1-40,text,true,,351,638,47,47,http://localhost:8081/transactions,57,0,2
1752172197071,55,HTTP Request,200,,Thread Group 1-9,text,true,,351,638,47,47,http://localhost:8081/transactions,55,0,0
1752172197103,23,HTTP Request,200,,Thread Group 1-38,text,true,,351,638,47,47,http://localhost:8081/transactions,23,0,0
1752172197098,28,HTTP Request,200,,Thread Group 1-30,text,true,,351,638,47,47,http://localhost:8081/transactions,28,0,0
1752172197095,32,HTTP Request,200,,Thread Group 1-44,text,true,,351,638,47,47,http://localhost:8081/transactions,32,0,1
1752172197089,38,HTTP Request,200,,Thread Group 1-5,text,true,,351,638,47,47,http://localhost:8081/transactions,38,0,0
1752172197047,80,HTTP Request,200,,Thread Group 1-36,text,true,,351,638,47,47,http://localhost:8081/transactions,80,0,1
1752172197115,13,HTTP Request,200,,Thread Group 1-34,text,true,,351,638,47,47,http://localhost:8081/transactions,12,0,0
1752172197054,74,HTTP Request,200,,Thread Group 1-15,text,true,,351,638,47,47,http://localhost:8081/transactions,74,0,0
1752172197067,61,HTTP Request,200,,Thread Group 1-12,text,true,,351,638,47,47,http://localhost:8081/transactions,61,0,0
1752172197079,50,HTTP Request,200,,Thread Group 1-18,text,true,,351,638,47,47,http://localhost:8081/transactions,50,0,0
1752172197083,46,HTTP Request,200,,Thread Group 1-32,text,true,,351,638,47,47,http://localhost:8081/transactions,46,0,0
1752172197062,67,HTTP Request,200,,Thread Group 1-27,text,true,,351,638,48,48,http://localhost:8081/transactions,67,0,1
1752172197105,25,HTTP Request,200,,Thread Group 1-1,text,true,,351,638,48,48,http://localhost:8081/transactions,25,0,0
1752172197090,46,HTTP Request,200,,Thread Group 1-23,text,true,,351,638,48,48,http://localhost:8081/transactions,46,0,0
1752172197082,55,HTTP Request,200,,Thread Group 1-20,text,true,,351,638,49,49,http://localhost:8081/transactions,55,0,0
1752172197125,14,HTTP Request,200,,Thread Group 1-40,text,true,,351,638,49,49,http://localhost:8081/transactions,14,0,0
1752172197114,26,HTTP Request,200,,Thread Group 1-41,text,true,,351,638,49,49,http://localhost:8081/transactions,26,0,0
1752172197079,60,HTTP Request,200,,Thread Group 1-3,text,true,,351,638,49,49,http://localhost:8081/transactions,60,0,0
1752172197083,58,HTTP Request,200,,Thread Group 1-28,text,true,,351,638,49,49,http://localhost:8081/transactions,58,0,0
1752172197061,80,HTTP Request,200,,Thread Group 1-26,text,true,,351,638,49,49,http://localhost:8081/transactions,80,0,0
1752172197124,18,HTTP Request,200,,Thread Group 1-19,text,true,,351,638,49,49,http://localhost:8081/transactions,18,0,0
1752172197128,14,HTTP Request,200,,Thread Group 1-34,text,true,,351,638,49,49,http://localhost:8081/transactions,14,0,0
